brand,type,msoffice,RAM,SSDCap,HDDCap,GPU,OS,Touchscreen,refreshrate,Weight,BacklitKB,warranty,price,PPI,Processor
ASUS,Laptop,1,16,512,0,AMD Radeon Vega 7,Windows 11 Home,0,60,1.88,0,1,52400.0,141.50971698084905,AMD Ryzen 5 Hexa Core
CHUWI,Laptop,0,4,128,0,Intel Integrated UHD,Windows 11 Home,0,60,0.91,0,1,14990.0,135.0942111925629,Intel Celeron Dual Core
HP,Gaming Laptop,1,16,512,0,NVIDIA GeForce RTX 4050,Windows 11 Home,0,60,2.32,0,1,89990.0,182.43537640433112,Intel Core i5
DELL,Thin and Light Laptop,1,16,512,0,Intel Integrated UHD,Windows 11 Home,0,60,1.65,0,1,52999.0,141.21199808219862,Intel Core i5
DELL,Thin and Light Laptop,1,8,512,0,Intel Integrated UHD,Windows 11 Home,0,60,1.8,1,1,47990.0,141.21199808219862,Intel Core i5
ZEBRONICS,Thin and Light Laptop,0,16,512,0,Intel Integrated UHD,Windows 11 Home,0,60,1.76,0,1,32990.0,141.21199808219862,Intel Core i5
ZEBRONICS,Thin and Light Laptop,0,16,512,0,Intel Integrated UHD,Windows 11 Home,0,60,1.65,0,1,28990.0,141.21199808219862,Intel Core i5
HP,Thin and Light Laptop,0,4,256,0,NIL,DOS,0,60,2.5,0,1,19979.0,100.45466986113651,AMD Athlon Dual Core
Acer,Thin and Light Laptop,0,8,512,0,Intel Integrated UHD,Windows 11 Home,0,60,1.78,0,1,35990.0,141.21199808219862,Intel Core i3
Infinix,Thin and Light Laptop,0,8,512,0,Intel Integrated UHD,Windows 11 Home,0,60,1.8,0,1,26490.0,141.21199808219862,Intel Core i3
WINGS,Thin and Light Laptop,0,8,256,0,Intel Integrated UHD,Windows 11 Home,0,60,1.6,0,1,21990.0,139.3666994768726,Intel Core i3
ASUS,Thin and Light Laptop,1,8,512,0,Intel Integrated UHD,Windows 11 Home,0,60,1.8,1,1,42990.0,141.21199808219862,Intel Core i3
MSI,Gaming Laptop,0,16,1024,0,NVIDIA GeForce RTX 4050,Windows 11 Home,0,144,2.25,0,2,89990.0,141.21199808219862,Intel Core i7
